tempo,velocidade
0.1000,0.00
0.2000,30.00
0.3000,30.00
0.4000,60.00
0.5000,60.00
0.6000,90.00
0.7000,120.00
0.8000,150.00
0.9000,180.00
1.0000,210.00
1.1000,270.00
1.2000,180.00
1.3000,210.00
1.4000,210.00
1.5000,180.00
1.6000,270.00
1.7000,210.00
1.8000,210.00
1.9000,210.00
2.0000,180.00
2.1000,240.00
2.2000,180.00
2.3000,210.00
2.4000,180.00
2.5000,240.00
2.6000,210.00
2.7000,210.00
2.8000,180.00
2.9000,210.00
3.0000,210.00
3.1000,210.00
3.2000,210.00
3.3000,180.00
3.4000,240.00
3.5000,240.00
3.6000,210.00
3.7000,180.00
3.8000,240.00
3.9000,180.00
4.0000,210.00
4.1000,180.00
4.2000,210.00
4.3000,210.00
4.4000,180.00
4.5000,240.00
4.6000,240.00
4.7000,210.00
4.8000,210.00
4.9000,180.00
5.0000,210.00
5.1000,210.00
5.2000,300.00
5.3000,180.00
5.4000,210.00
5.5000,210.00
5.6000,180.00
5.7000,240.00
5.8000,210.00
5.9000,210.00
6.0000,180.00
6.1000,180.00
6.2000,210.00
6.3000,180.00
6.4000,240.00
6.5000,180.00
6.6000,180.00
6.7000,210.00
6.8000,180.00
6.9000,180.00
7.0000,210.00
7.1000,240.00
7.2000,180.00
7.3000,180.00
7.4000,240.00
7.5000,180.00
7.6000,180.00
7.7000,240.00
7.8000,240.00
7.9000,180.00
8.0000,210.00
8.1000,180.00
8.2000,180.00
8.3000,210.00
8.4000,180.00
8.5000,210.00
8.6000,210.00
8.7000,180.00
8.8000,210.00
8.9000,240.00
9.0000,180.00
9.1000,180.00
9.2000,240.00
9.3000,180.00
9.4000,240.00
9.5000,210.00
9.6000,180.00
9.7000,270.00
9.8000,210.00
9.9000,180.00
10.0000,240.00
